Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your mode preferences [Splat Zones],Choose your mode preferences [Tower Control],Choose your mode preferences [Rainmaker],Choose your mode preferences [Clam Blitz],Choose your mode preferences [Turf War],Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists next to other modes?
2018/03/23 12:09:29 PM MDT,3z,earth22#2222,Preferred,Not preferred,Not preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Preferred,Neutral,,3,2,1,5,4,No,Yes
2018/03/23 12:14:04 PM MDT,Team Olive,Sendou#9362,Preferred,Neutral,Not preferred,Preferred,Preferred,Neutral,Not preferred,Preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Preferred,Neutral,Neutral,Neutral,1,4,2,3,5,No,Yes
2018/03/23 12:21:22 PM MDT,M&L,Lean#3146,Neutral,Neutral,Not preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,Preferred,Not preferred,Not preferred,Not preferred,1,2,3,4,5,Yes,No
2018/03/23 12:24:34 PM MDT,Ethereal,Wadsm#2643,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,1,3,2,4,5,Yes,No
2018/03/23 12:25:22 PM MDT,The binx's,binx#7648 ,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Neutral,Preferred,Preferred,Neutral,Preferred,Neutral,Preferred,Neutral,Not preferred,Not preferred,Not preferred,1,3,2,4,5,No,No
2018/03/23 12:27:18 PM MDT,Alliance Rogue,Sorin#,Preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,1,4,3,2,5,Yes,No
2018/03/23 12:32:53 PM MDT,TakeOver!,Lyn#1337,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,1,2,3,5,4,Yes,No
2018/03/23 12:46:09 PM MDT,N/A,tictac#3766,Not preferred,Preferred,Not preferred,Neutral,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Preferred,Neutral,1,2,3,4,5,Yes,No
2018/03/23 12:47:32 PM MDT,EL Firmament,Arm#3942,Neutral,Preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Preferred,Neutral,Preferred,Neutral,1,2,3,4,5,No,No
2018/03/23 12:48:07 PM MDT,Kraken Paradise,pepapig [2448-9971-2789]#4843,Neutral,Neutral,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,1,2,3,4,5,Yes,No
2018/03/23 12:56:17 PM MDT,Crème Fresh,Brian#4589,Neutral,Neutral,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Neutral,Neutral,Preferred,1,2,4,3,5,Yes,No
2018/03/23 1:03:32 PM MDT,fuzzy,Pkfuzzy🍣#i forget,Preferred,Neutral,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Not preferred,Preferred,1,4,3,5,2,Yes,No
