Oblivion,Seafood Sorbet
El Firmament,Instant Ramen
Team S4,Atramentum
Team Olive,Killer Bees
Rising Moon,Hakai
Squidding Good,いんふすく | InfSq
Inklings Team,Yurika
orKsGP Black,Sunken Hope
Clanless,Day Old Sushi
Spanish Army,Blue Ringed Octolings
Blooper Ink,Mörder Squid
Imagine Squids,ıиκΩOmega
Stay Fresh,Dynasty
Sedna,Violet Xenon
C Sharp,OverFlow
PainTShock,Gemini
eternal gemini,BALLERS
Hexagone,Arctic Fury
ıиκ αlpha,Nitro
EL Zéphyr,Endless Oceans
no christmas without caviar,ViceVersa
AllTheWay EU,Annaki!
CrossInk,Not Your Average
Element Tuzki,SquidAche
Cactus,Painmakers
Argos,Squidlett Overdrive
4th Legion,Divine Nerd Squad
Ghiblink,Blink Gaming
Polarized,Sleeping With the Squids
Chromatic Squids,Raging ink
Tyrant Ink,Mexamafia
Project,Planet Mars
Wings Of Pegasus,Salty Sisters
Peximen,The Sea Words
Moist,Floaters Meso
Hades Extrion,Urchin Warriors
