Object Shredders,Prophecy,Rainmaker on Inkblot Art Academy,Splat Zones on Starfish Mainstage,Tower Control on Musselforge Fitness
Object Shredders,Ink Cartel ,Rainmaker on Starfish Mainstage,Splat Zones on MakoMart,Tower Control on Humpback Pump Track
Object Shredders,Kagura,Rainmaker on Inkblot Art Academy,Splat Zones on The Reef,Rainmaker on Piranha Pit
Object Shredders,Inklings Team,Rainmaker on Kelp Dome,Splat Zones on Walleye Warehouse,Rainmaker on Musselforge Fitness
Object Shredders,Element Tuzki,Tower Control on Moray Towers,Rainmaker on Goby Arena,Splat Zones on Inkblot Art Academy
Object Shredders,Electric Zoo,Tower Control on Starfish Mainstage,Rainmaker on Moray Towers,Splat Zones on Piranha Pit
Object Shredders,Limitless,Rainmaker on Goby Arena,Splat Zones on Sturgeon Shipyard,Tower Control on Manta Maria
Object Shredders,Akatsuki,Rainmaker on Sturgeon Shipyard,Splat Zones on Port Mackerel,Tower Control on Musselforge Fitness
Object Shredders,Team Anonymous,Tower Control on Moray Towers,Rainmaker on Walleye Warehouse,Splat Zones on Goby Arena
Object Shredders,Imagine Squids,Rainmaker on Piranha Pit,Splat Zones on Humpback Pump Track,Tower Control on Sturgeon Shipyard
Object Shredders,Spanish Army,Tower Control on The Reef,Rainmaker on MakoMart,Splat Zones on Piranha Pit
Object Shredders,Konton Knights I,Tower Control on The Reef,Rainmaker on Kelp Dome,Splat Zones on Starfish Mainstage
Object Shredders,Hexagone,Tower Control on Walleye Warehouse,Rainmaker on MakoMart,Splat Zones on Starfish Mainstage
Object Shredders,Potatoon,Tower Control on Piranha Pit,Rainmaker on Inkblot Art Academy,Splat Zones on Port Mackerel
Object Shredders,Kairos,Rainmaker on Shellendorf Institute,Splat Zones on MakoMart,Tower Control on Moray Towers
Object Shredders,XYZ Force,Rainmaker on Port Mackerel,Splat Zones on Starfish Mainstage,Tower Control on Goby Arena
Object Shredders,Squidlett Overdrive,Rainmaker on Goby Arena,Splat Zones on Sturgeon Shipyard,Tower Control on Inkblot Art Academy
Object Shredders,PainTShock,Rainmaker on Kelp Dome,Splat Zones on Piranha Pit,Rainmaker on Goby Arena
Object Shredders,GanGan Galaxy,Tower Control on Starfish Mainstage,Rainmaker on Piranha Pit,Splat Zones on Shellendorf Institute
Object Shredders,Relief,Tower Control on Sturgeon Shipyard,Rainmaker on Kelp Dome,Splat Zones on MakoMart
Object Shredders,Tenacity,Rainmaker on MakoMart,Splat Zones on Kelp Dome,Tower Control on Inkblot Art Academy
Object Shredders,TeamS4,Rainmaker on Piranha Pit,Splat Zones on MakoMart,Tower Control on Goby Arena
