Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish],Choose your map preferences [Wahoo World]
4/28/2018 18:33,El Firmament,Arm#3942,Neutral,Preferred,Preferred,Neutral,Preferred,Not preferred,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Preferred,Rainmaker,No,Yes,5038-6186-0130,Neutral,Neutral
4/28/2018 18:34,Inklings Team,IT | PikaKnight#6229,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Not preferred,Tower Control,Yes,No,3267-4144-0332,Neutral,Neutral
4/28/2018 18:42,Squidlett Overdrive,The Salamander King#7428,Not preferred,Neutral,Neutral,Not preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,No,3785-4018-5310,Neutral,Neutral
4/28/2018 18:44,License to Krill,Bronze#0007,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,,No,Yes,6642-3003-0442,Preferred,Neutral
4/28/2018 18:52,ıиκ αlpha,ShadowMH | Jonny#5226,Preferred,Neutral,Not preferred,Not preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,No,No,0065-7739-1602,Neutral,Neutral
4/28/2018 19:12,C Sharp,Kaldemar#3369,Neutral,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Preferred,Not preferred,Rainmaker,No,No,2725-5554-9305,Neutral,Neutral
4/28/2018 19:17,Calamity Forge,[Calamity Forge]⊂ƒΩダニエル#4385,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Clam Blitz,No,No,2214-5467-4710,Neutral,Neutral
4/28/2018 19:50,Imagine Squids,Iso#3483,Preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Preferred,Clam Blitz,No,No,5298-4379-5101,Neutral,Neutral
4/28/2018 19:56,Chikara,Robbe#8524,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Clam Blitz,Yes,No,7617-4496-0886,Neutral,Neutral
4/28/2018 20:05,Team S4,Andromeda#8466,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,No,2459-1550-7705,Neutral,Neutral
4/28/2018 22:23,EnviZion,Safire#9245,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,Yes,No,1328-2123-6721,Neutral,Neutral
4/28/2018 22:43,いんふすく | InfSq,nagayama#0920,Preferred,Preferred,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Neutral,Preferred,,No,Yes,2209-1218-9800,Preferred,Neutral
4/28/2018 23:39,Squidding Good,SG»Porky#1655 ,Preferred,Preferred,Neutral,Neutral,Neutral,Not preferred,Not preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Preferred,Neutral,Preferred,,No,No,8092-2269-6709,Neutral,Neutral
4/28/2018 23:43,Depth First Squids,Raptura#4283,Preferred,Preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Preferred,Not preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,Yes,No,7044-7293-7524,Neutral,Neutral
4/29/2018 0:14,Atramentum,ThatsSo#5152,Preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Clam Blitz,No,No,4318-1819-8392,Neutral,Neutral
4/29/2018 1:39,Squid Armada,caZ#8391,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,No,7487-7873-0102,Preferred,Neutral
4/29/2018 1:42,Yurika,Owlsy#3067,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Rainmaker,No,No,0875-6445-4013,Neutral,Neutral
4/29/2018 5:18,The Sea Words,Bulby37#5427,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Clam Blitz,No,Yes,0583-4143-1047,Not preferred,Neutral
4/29/2018 6:09,Blue Ringed Octolings,Master Goose#8763,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,No,6923-3454-5992,Not preferred,Neutral
4/29/2018 12:41,Kraken Paradise,pepapig [2448-9971-2789]#4843,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,Yes,No,2448-9971-2789,Neutral,Neutral
4/29/2018 12:54,HappyClouds,H♭_ Zydo#5750,Not preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Neutral,Not preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Not preferred,Preferred,Clam Blitz,No,No,2497-3889-0188,Preferred,Neutral
4/29/2018 14:57,ετεяηαl gεмιηι,"ε""υηκηοωη~#0289",Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,0546-4347-5020,Neutral,Neutral
